id,Location,Burrito,Neighborhood,Address,URL,Cost,overall
0,Donato's taco shop,California ,Miramar,6780 Miramar Rd,http://donatostacoshop.net/,6.49,3.8
1,Oscar's Mexican food,California ,San Marcos,225 S Rancho Santa Fe Rd,http://www.yelp.com/biz/oscars-mexican-food-san-marcos,5.45,3
2,Oscar's Mexican food,Carnitas,San Marcos,225 S Rancho Santa Fe Rd,http://www.yelp.com/biz/oscars-mexican-food-san-marcos,4.85,3
3,Oscar's Mexican food,Carne asada,San Marcos,225 S Rancho Santa Fe Rd,http://www.yelp.com/biz/oscars-mexican-food-san-marcos,5.25,3.75
4,Pollos Maria,California,Carlsbad,3055 Harding St,http://pollosmaria.com/,6.59,4.2
5,Pollos Maria,combo chicken,Carlsbad,3055 Harding St,http://pollosmaria.com/,6.99,3.2
6,Nico's Taco Shop,California,Carmel Valley,3860 Valley Centre Dr #404,http://www.yelp.com/biz/nicos-taco-shop-san-diego,7.19,2.6
7,Nico's Taco Shop,Carnitas,Carmel Valley,3860 Valley Centre Dr #404,http://www.yelp.com/biz/nicos-taco-shop-san-diego,6.99,3
8,Los Primos Mexican Food,Monster California,UTC,7770 Regents Rd,http://www.primosmex.com/,9.25,3.9
9,JV's Mexican Food,Carne Asada,Morena,1112 Morena Blvd,http://jvsmexfood.com/,6.25,2
10,JV's Mexican Food,Surf & Turf,Morena,1112 Morena Blvd,http://jvsmexfood.com/,9.5,2.5
11,Tony's Fresh Mexican Food,Chile verde pork,Miramar,7122 Miramar Rd,https://www.yelp.com/biz/tonys-fresh-mexican-food-san-diego,6.95,3
12,Tony's Fresh Mexican Food,California,Miramar,7122 Miramar Rd,https://www.yelp.com/biz/tonys-fresh-mexican-food-san-diego,6.25,3.9
13,Tony's Fresh Mexican Food,battered fish ,Miramar,7122 Miramar Rd,https://www.yelp.com/biz/tonys-fresh-mexican-food-san-diego,6.99,2
14,Tony's Fresh Mexican Food,California,Miramar,7122 Miramar Rd,https://www.yelp.com/biz/tonys-fresh-mexican-food-san-diego,6.25,2.75
15,Taco Stand,California,La Jolla,621 Pearl St,http://letstaco.com/,7.49,4.2
16,Taco Stand,Surf and turf ,La Jolla,621 Pearl St,http://letstaco.com/,8.49,4.1
17,Graciela's Taco Shop,Adobada ,Bonita,5047 Central Ave,https://www.yelp.com/biz/gracielas-taco-shop-bonita-2,5.99,4
18,Graciela's Taco Shop,Barbacoa,Bonita,5047 Central Ave,https://www.yelp.com/biz/gracielas-taco-shop-bonita-2,5.99,4
19,Rigoberto's Taco Shop La Jolla,California,La Jolla,7345 La Jolla Blvd,https://www.yelp.com/biz/rigobertos-la-jolla-2,6.4,3
20,Rigoberto's Taco Shop La Jolla,California,La Jolla,7345 La Jolla Blvd,https://www.yelp.com/biz/rigobertos-la-jolla-2,6.4,3.5
21,Lolita's taco shop,2 in 1,Kearny Mesa,7305 Clairemont Mesa Blvd,http://lolitasmexicanfood.com/,8.75,4
22,Lolita's taco shop,Adobado,Kearny Mesa,7305 Clairemont Mesa Blvd,http://lolitasmexicanfood.com/,5.5,3.5
25,Lola's 7 Up Market & Deli,Shredded beef,Carlsbad,3292 Roosevelt St,https://www.yelp.com/biz/lolas-7-up-market-and-deli-carlsbad,6,3.8
26,Lola's 7 Up Market & Deli,Carne asada,Carlsbad,3292 Roosevelt St,https://www.yelp.com/biz/lolas-7-up-market-and-deli-carlsbad,7,3
27,Colima's Mexican Food,Hawaiian,North park,2302 University Ave,https://www.yelp.com/biz/colimas-mexican-food-san-diego,6.29,4
28,Colima's Mexican Food,Bandido,North park,2302 University Ave,https://www.yelp.com/biz/colimas-mexican-food-san-diego,6.49,4
